CEP;CIDADE;UF;Bairro;Logradouro
82130010;Curitiba;PR;Abranches;Rua João Gava
80220201;Curitiba;PR;Água Verde;Avenida Presidente Kennedy - de 772/773 a 1630/1631
80030285;Curitiba;PR;Ahú;Rua Campos Sales - de 981 ao fim - lado ímpar
81720230;Curitiba;PR;Alto Boqueirão;Rua Jorge Brey
80030000;Curitiba;PR;Alto da Glória;Avenida João Gualberto - até 1060/1061
80045000;Curitiba;PR;Alto da Rua XV;Avenida Sete de Setembro - de 1432 a 1694 - lado par
82590100;Curitiba;PR;Atuba;Rodovia BR-116 - até 4279/4280
81265000;Curitiba;PR;Augusta;Rua Eduardo Sprada - de 7245/7246 ao fim
82501970;Curitiba;PR;Bacacheri;Rua Holanda, 202 
82590200;Curitiba;PR;Bairro Alto;Rodovia BR-116 - de 4281/4282 a 5909/5910
82220000;Curitiba;PR;Barreirinha;Avenida Anita Garibaldi - de 4211/4212 ao fim
80240000;Curitiba;PR;Batel;Avenida Sete de Setembro - de 4551/4552 a 5460/5461
80430000;Curitiba;PR;Bigorrilho;Alameda Presidente Taunay - de 506/507 a 1273/1274
82200540;Curitiba;PR;Boa Vista;Avenida Anita Garibaldi - de 1792 a 2350 - lado par
80520080;Curitiba;PR;Bom Retiro;Estrada do Lazareto
81617970;Curitiba;PR;Boqueirão;Avenida Marechal Floriano Peixoto, 9243 
82315430;Curitiba;PR;Butiatuvinha;Rua Otto Willi Michaelis
80035000;Curitiba;PR;Cabral;Avenida Munhoz da Rocha - de 401/402 ao fim
82220350;Curitiba;PR;Cachoeira;Rua Ângelo Cúnico
82900000;Curitiba;PR;Cajuru;Rua Pandiá Calógeras
80730010;Curitiba;PR;Campina do Siqueira;Rua São Vicente de Paulo
81200240;Curitiba;PR;Campo Comprido;Rua José Izidoro Biazetto
81490000;Curitiba;PR;Campo de Santana;Estrada Delegado Bruno de Almeida - de 1231/1232 a 6844/6845
82800210;Curitiba;PR;Capão da Imbuia;Rua Roberto Cichon - de 256/257 ao fim
81010970;Curitiba;PR;Capão Raso;Avenida Winston Churchill, 166 
82015080;Curitiba;PR;Cascatinha;Rua Nicolau José Gravina - de 1316/1317 ao fim
81495000;Curitiba;PR;Caximba;Estrada Delegado Bruno de Almeida - de 6846/6847 ao fim
80001970;Curitiba;PR;Centro;Rua XV de Novembro, 700 
80030020;Curitiba;PR;Centro Cívico;Praça Gibran Khalil Gibran
81010972;Curitiba;PR;Cidade Industrial;Rua Antônio Lacerda Braga, 381 
80050150;Curitiba;PR;Cristo Rei;Rua Fioravante Dalla Stella
81030000;Curitiba;PR;Fanny;Rua Omilio Monteiro Soares - até 1190/1191
81070470;Curitiba;PR;Fazendinha;Rua Napoleão Bartachevits
81930554;Curitiba;PR;Ganchinho;Rua José Ângelo Miquelleto
81510000;Curitiba;PR;Guabirotuba;Avenida Senador Salgado Filho - de 0661/662 a 1529/1530
80220310;Curitiba;PR;Guaíra;Rua Rio Vila Guaíra - de 871/872 ao fim
81610000;Curitiba;PR;Hauer;Avenida Marechal Floriano Peixoto - de 4543 a 6619 - lado ímpar
80040150;Curitiba;PR;Hugo Lange;Rua Humberto Carta
80060090;Curitiba;PR;Jardim Botânico;Avenida Presidente Affonso Camargo - até 568/0569
81520010;Curitiba;PR;Jardim das Américas;Rua Joaquim Augusto de Andrade
82520000;Curitiba;PR;Jardim Social;Avenida Presidente Washington Luiz
80030001;Curitiba;PR;Juvevê;Avenida João Gualberto - de 1062/1063 ao fim
82415010;Curitiba;PR;Lamenha Pequena;Rua Benjamin Granatto
